probability	surf_min	surf_max	surf_optimalScore	surf_plus	surf_humanRelation	surf_raw_min	surf_raw_max	speed	direction	directionType	gust	optimalScore	temperature	condition	pressure
	1.2	1.8	2	False	Chest to overhead	1.0716	1.7512	21.28705	268.91099	Onshore	31.68	0	10.94	NIGHT_MOSTLY_CLOUDY	1016
	1.2	1.8	2	False	Chest to overhead	1.0953333333333335	1.7832666666666666	17.85552	272.74178	Onshore	29.16	0	10.76001	NIGHT_MOSTLY_CLEAR	1016
	1.2	1.8	2	False	Chest to overhead	1.2290666666666668	1.8253333333333333	25.92571	308.47851	Onshore	31.68	0	9.79001	NIGHT_CLEAR	1015
	1.2	2.0	2	False	Chest to 0.3m overhead	1.2928	1.8874	26.16599	314.56043	Onshore	33.12	0	9.29999	NIGHT_CLEAR	1015
	1.2	2.0	2	False	Chest to 0.3m overhead	1.3665333333333332	1.9694666666666667	24.45067	315.00781	Onshore	33.12	0	8.78	NIGHT_MOSTLY_CLOUDY	1016
	1.5	2.1	2	False	Head to 0.6m overhead	1.4502666666666666	2.061533333333333	12.82866	316.78276	Onshore	20.52	0	9.70999	NIGHT_CLEAR	1017
	1.5	2.1	2	False	Head to 0.6m overhead	1.524	2.1336	17.58509	315.82954	Onshore	26.28	0	9.45999	NIGHT_CLEAR	1016
	1.5	2.4	2	False	Head to well overhead	1.524	2.4384	19.16573	327.04738	Cross-shore	26.28	0	9.45999	CLEAR	1018
	1.5	2.4	2	False	Head to well overhead	1.524	2.4384	15.83754	333.22903	Cross-shore	22.32	0	9.0	CLEAR	1018
	1.5	2.4	2	False	Head to well overhead	1.5777000000000003	2.4183999999999997	15.36145	320.11156	Onshore	24.48	0	9.0	CLEAR	1019
	1.5	2.4	2	False	Head to well overhead	1.6514000000000002	2.4184	17.52343	308.68928	Onshore	21.96	0	9.19	CLEAR	1020
	1.8	2.4	2	False	Overhead to well overhead	1.7450999999999999	2.4284	8.06271	292.68857	Onshore	8.64	2	10.22	CLEAR	1021
	1.8	2.4	2	False	Overhead to well overhead	1.8288	2.4384	13.86768	280.2029	Onshore	13.86768	0	9.79001	CLEAR	1021
	1.8	2.4	2	False	Overhead to well overhead	1.8288	2.4384	18.52359	277.59668	Onshore	19.08	0	9.66	CLEAR	1020
	1.8	3.0	2	False	Head to 2x overhead	1.8947999999999998	2.66432	20.70741	281.80169	Onshore	22.32	0	9.73999	CLEAR	1020
	1.8	3.0	2	False	Head to 2x overhead	1.9207999999999996	2.84024	20.98855	288.07276	Onshore	23.04	0	9.89001	CLEAR	1019
	1.8	3.0	2	False	Head to 2x overhead	1.9168	2.98616	19.90109	293.49971	Onshore	21.96	0	9.98001	CLEAR	1019
	2.4	3.7	2	False	2x overhead	1.8827999999999998	3.1020800000000004	22.71875	295.4886	Onshore	25.56	0	10.03	CLEAR	1019
	1.8	3.0	2	False	Head to 2x overhead	1.8288	3.048	23.95842	299.78815	Onshore	28.08	0	10.03998	CLEAR	1019
	1.8	3.0	2	False	Head to 2x overhead	1.7725666666666664	3.031366666666667	23.22757	304.02481	Onshore	27.72	0	10.10001	CLEAR	1020
	1.8	3.0	2	False	Head to 2x overhead	1.716333333333333	2.9447333333333336	20.76	306.78071	Onshore	25.56	0	10.07999	CLEAR	1020
	1.8	3.0	2	False	Head to 2x overhead	1.6801	2.8681	19.3732	300.38911	Onshore	24.48	0	10.06	NIGHT_CLEAR	1020
	1.8	3.0	2	False	Head to 2x overhead	1.6338666666666666	2.8014666666666668	19.70382	295.35839	Onshore	25.56	0	10.01999	NIGHT_CLEAR	1021
	1.8	3.0	2	False	Head to 2x overhead	1.5976333333333335	2.7448333333333332	17.50863	293.68639	Onshore	24.84	0	10.01999	NIGHT_CLEAR	1021
